name,href,visited
Data Science (BA),/undergraduate/arts-science/programs/data-science-ba/,False
Data Science (Minor),/undergraduate/arts-science/programs/data-science-minor/,False
Data Science and Mathematics (BA),/undergraduate/arts-science/programs/data-science-mathematics-ba/,False
"Dramatic Literature, Theatre History, and Cinema (BA)",/undergraduate/arts-science/programs/dramatic-literature-theatre-history-cinema-ba/,False
"Dramatic Literature, Theatre History, and Cinema (Minor)",/undergraduate/arts-science/programs/dramatic-literature-theatre-history-cinema-minor/,False
East Asian Civilization (Minor),/undergraduate/arts-science/programs/east-asian-civilization-minor/,False
East Asian Studies (BA),/undergraduate/arts-science/programs/east-asian-studies-ba/,False
Economics (BA),/undergraduate/arts-science/programs/economics-ba/,False
Economics (Minor),/undergraduate/arts-science/programs/economics-minor/,False
Economics and Computer Science (BA),/undergraduate/arts-science/programs/economics-computer-science-ba/,False
Economics and Mathematics (BA),/undergraduate/arts-science/programs/economics-mathematics-ba/,False
English and American Literature (BA),/undergraduate/arts-science/programs/english-american-literature-ba/,False
English and American Literature (Minor),/undergraduate/arts-science/programs/english-american-literature-minor/,False
Environmental Biology (Minor),/undergraduate/arts-science/programs/environmental-biology-minor/,False
Environmental Humanities (Minor),/undergraduate/arts-science/programs/environmental-humanities-minor/,False
Environmental Studies (BA),/undergraduate/arts-science/programs/environmental-studies-ba/,False
Environmental Studies (Minor),/undergraduate/arts-science/programs/environmental-studies-minor/,False
European and Mediterranean Studies (BA),/undergraduate/arts-science/programs/european-mediterranean-studies-ba/,False
European and Mediterranean Studies (Minor),/undergraduate/arts-science/programs/european-mediterranean-studies-minor/,False
Francophone Studies (Minor),/undergraduate/arts-science/programs/francophone-studies-minor/,False
French (BA),/undergraduate/arts-science/programs/french-ba/,False
French (Minor),/undergraduate/arts-science/programs/french-minor/,False
French and Linguistics (BA),/undergraduate/arts-science/programs/french-linguistics-ba/,False
French Studies in English Translation (Minor),/undergraduate/arts-science/programs/french-studies-english-translation-minor/,False
Gender and Sexuality Studies (BA),/undergraduate/arts-science/programs/gender-sexuality-studies-ba/,False
Gender and Sexuality Studies (Minor),/undergraduate/arts-science/programs/gender-sexuality-studies-minor/,False
Genetics (Minor),/undergraduate/arts-science/programs/genetics-minor/,False
Genomics and Bioinformatics (Minor),/undergraduate/arts-science/programs/genomics-bioinformatics-minor/,False
German (BA),/undergraduate/arts-science/programs/german-ba/,False
German (Minor),/undergraduate/arts-science/programs/german-minor/,False
German and Linguistics (BA),/undergraduate/arts-science/programs/german-linguistics-ba/,False
Global Public Health and Anthropology (BA),/undergraduate/arts-science/programs/global-public-health-anthropology-ba/,False
Global Public Health and History (BA),/undergraduate/arts-science/programs/global-public-health-history-ba/,False
Global Public Health and Science (BS),/undergraduate/arts-science/programs/global-public-health-science-bs/,False
Global Public Health and Sociology (BA),/undergraduate/arts-science/programs/global-public-health-sociology-ba/,False
Hebrew and Judaic Studies (BA),/undergraduate/arts-science/programs/hebrew-judaic-studies-ba/,False
Hebrew and Judaic Studies (Minor),/undergraduate/arts-science/programs/hebrew-judaic-studies-minor/,False
Hellenic Studies (BA),/undergraduate/arts-science/programs/hellenic-studies-ba/,False
Hellenic Studies (Minor),/undergraduate/arts-science/programs/hellenic-studies-minor/,False
History (BA),/undergraduate/arts-science/programs/history-ba/,False
History (Minor),/undergraduate/arts-science/programs/history-minor/,False
International Relations (BA),/undergraduate/arts-science/programs/international-relations-ba/,False
Irish Studies (Minor),/undergraduate/arts-science/programs/irish-studies-minor/,False
Italian (BA),/undergraduate/arts-science/programs/italian-ba/,False
Italian (Minor),/undergraduate/arts-science/programs/italian-minor/,False
Italian and Linguistics (BA),/undergraduate/arts-science/programs/italian-linguistics-ba/,False
Japanese (Minor),/undergraduate/arts-science/programs/japanese-minor/,False
Journalism (BA),/undergraduate/arts-science/programs/journalism-ba/,False
Korean (Minor),/undergraduate/arts-science/programs/korean-minor/,False
Language and Mind (BA),/undergraduate/arts-science/programs/language-mind-ba/,False
Latin American and Caribbean Studies (BA),/undergraduate/arts-science/programs/latin-american-caribbean-studies-ba/,False
Latin American and Caribbean Studies (Minor),/undergraduate/arts-science/programs/latin-american-caribbean-studies-minor/,False
Latin and Ancient Greek (Minor),/undergraduate/arts-science/programs/latin-ancient-greek-minor/,False
Latino Studies (BA),/undergraduate/arts-science/programs/latino-studies-ba/,False
Latino Studies (Minor),/undergraduate/arts-science/programs/latino-studies-minor/,False
Law and Society (Minor),/undergraduate/arts-science/programs/law-society-minor/,False
Linguistics (BA),/undergraduate/arts-science/programs/linguistics-ba/,False
Linguistics (Minor),/undergraduate/arts-science/programs/linguistics-minor/,False
Literature in Translation (Minor),/undergraduate/arts-science/programs/literature-translation-minor/,False
Mathematics (BA),/undergraduate/arts-science/programs/mathematics-ba/,False
Mathematics (Minor),/undergraduate/arts-science/programs/mathematics-minor/,False
Mathematics and Computer Science (BA),/undergraduate/arts-science/programs/mathematics-computer-science-ba/,False
Mathematics and Computer Science (Minor),/undergraduate/arts-science/programs/mathematics-computer-science-minor/,False
Mathematics/Civil Engineering (BS/BS),/undergraduate/arts-science/programs/mathematics-civil-engineering-bs-bs/,False
Mathematics/Computer Engineering (BS/BS),/undergraduate/arts-science/programs/mathematics-computer-engineering-bs-bs/,False
Mathematics/Electrical Engineering (BS/BS),/undergraduate/arts-science/programs/mathematics-electrical-engineering-bs-bs/,False
Mathematics/Mechanical Engineering (BS/BS),/undergraduate/arts-science/programs/mathematics-mechanical-engineering-bs-bs/,False
Medical Humanities (Minor),/undergraduate/arts-science/programs/medical-humanities-minor/,False
Medieval and Renaissance Studies (BA),/undergraduate/arts-science/programs/medieval-renaissance-studies-ba/,False
Medieval and Renaissance Studies (Minor),/undergraduate/arts-science/programs/medieval-renaissance-studies-minor/,False
Metropolitan Studies (BA),/undergraduate/arts-science/programs/metropolitan-studies-ba/,False
Metropolitan Studies (Minor),/undergraduate/arts-science/programs/metropolitan-studies-minor/,False
Middle Eastern Studies (BA),/undergraduate/arts-science/programs/middle-eastern-studies-ba/,False
Middle Eastern Studies (Minor),/undergraduate/arts-science/programs/middle-eastern-studies-minor/,False
Molecular and Cell Biology (Minor),/undergraduate/arts-science/programs/molecular-cell-biology-minor/,False
Music (BA),/undergraduate/arts-science/programs/music-ba/,False
Music (Minor),/undergraduate/arts-science/programs/music-minor/,False
Native American and Indigenous Studies (Minor),/undergraduate/arts-science/programs/native-american-indigenous-studies-minor/,False
Neural Science (BS),/undergraduate/arts-science/programs/neural-science-bs/,False
Philosophy (BA),/undergraduate/arts-science/programs/philosophy-ba/,False
Philosophy (Minor),/undergraduate/arts-science/programs/philosophy-minor/,False
Physics (BA),/undergraduate/arts-science/programs/physics-ba/,False
Physics (BS),/undergraduate/arts-science/programs/physics-bs/,False
Physics (Minor),/undergraduate/arts-science/programs/physics-minor/,False
Physics/Civil Engineering (BS/BS),/undergraduate/arts-science/programs/physics-civil-engineering-bs-bs/,False
Physics/Computer Engineering (BS/BS),/undergraduate/arts-science/programs/physics-computer-engineering-bs-bs/,False
Physics/Electrical Engineering (BS/BS),/undergraduate/arts-science/programs/physics-electrical-engineering-bs-bs/,False
Physics/Mechanical Engineering (BS/BS),/undergraduate/arts-science/programs/physics-mechanical-engineering-bs-bs/,False
Politics (BA),/undergraduate/arts-science/programs/politics-ba/,False
Politics (Minor),/undergraduate/arts-science/programs/politics-minor/,False
Portuguese (Minor),/undergraduate/arts-science/programs/portuguese-minor/,False
Print and Online Journalism (Minor),/undergraduate/arts-science/programs/print-online-journalism-minor/,False
Psychology (BA),/undergraduate/arts-science/programs/psychology-ba/,False
Psychology (Minor),/undergraduate/arts-science/programs/psychology-minor/,False
Public Policy (BA),/undergraduate/arts-science/programs/public-policy-ba/,False
Public Policy (Minor),/undergraduate/arts-science/programs/public-policy-minor/,False
Religious Studies (BA),/undergraduate/arts-science/programs/religious-studies-ba/,False
Religious Studies (Minor),/undergraduate/arts-science/programs/religious-studies-minor/,False
Romance Languages (BA),/undergraduate/arts-science/programs/romance-languages-ba/,False
Russian and Slavic Studies (BA),/undergraduate/arts-science/programs/russian-slavic-studies-ba/,False
Russian and Slavic Studies (Minor),/undergraduate/arts-science/programs/russian-slavic-studies-minor/,False
Science and Society (Minor),/undergraduate/arts-science/programs/science-society-minor/,False
Self-Designed Major (BA),/undergraduate/arts-science/programs/self-designed-major-ba/,False
Social and Cultural Analysis (BA),/undergraduate/arts-science/programs/social-cultural-analysis-ba/,False
Social and Cultural Analysis (Minor),/undergraduate/arts-science/programs/social-cultural-analysis-minor/,False
Sociology (BA),/undergraduate/arts-science/programs/sociology-ba/,False
Sociology (Minor),/undergraduate/arts-science/programs/sociology-minor/,False
South Asian Studies (Minor),/undergraduate/arts-science/programs/south-asian-studies-minor/,False
Spanish (Minor),/undergraduate/arts-science/programs/spanish-minor/,False
Spanish and Linguistics (BA),/undergraduate/arts-science/programs/spanish-linguistics-ba/,False
Spanish and Portuguese (BA),/undergraduate/arts-science/programs/spanish-portuguese-ba/,False
Urban Design and Architecture Studies (BA),/undergraduate/arts-science/programs/urban-design-architecture-studies-ba/,False
Urban Design and Architecture Studies (Minor),/undergraduate/arts-science/programs/urban-design-architecture-studies-minor/,False
Urban Studies and Anthropology (BA),/undergraduate/arts-science/programs/urban-studies-anthropology-ba/,False
Urban Studies and History (BA),/undergraduate/arts-science/programs/urban-studies-history-ba/,False
Urban Studies and Social and Cultural Analysis (BA),/undergraduate/arts-science/programs/urban-studies-social-cultural-analysis-ba/,False
Urban Studies and Sociology (BA),/undergraduate/arts-science/programs/urban-studies-sociology-ba/,False
Web Programming and Applications (Minor),/undergraduate/arts-science/programs/web-programming-applications-minor/,False
